wavenumber_cm1,mean_delta,median_delta,hydric_lower_count,hydric_higher_count,269180_minus_269142,242130_minus_247323,242114_minus_269150,242107_minus_247270,242125_minus_247310
3804.0,-0.04828620191976243,-0.054863025353934614,5,0,-0.08739484293475708,-0.054863025353934614,-0.06167633626837832,-0.020072283050793338,-0.017424521990948794
3802.0,-0.04909781243422753,-0.054464812060634804,5,0,-0.08875733699524968,-0.054464812060634804,-0.06279593688437757,-0.02522357156612509,-0.014247404664750496
3800.0,-0.04841439850181493,-0.053894161978217836,5,0,-0.08873603940137742,-0.053894161978217836,-0.06194658940173303,-0.023162812240196118,-0.014332389487550223
3798.0,-0.04677958429496818,-0.05370169025737215,5,0,-0.08690296676695053,-0.05370169025737215,-0.059877732617354296,-0.015788325224749267,-0.01762720660841466
3796.0,-0.04555696174214674,-0.053880318542518735,5,0,-0.08524970488408545,-0.053880318542518735,-0.058200639407592236,-0.00984259108936092,-0.020611554787176356
3794.0,-0.04449965680463972,-0.05402559516426941,5,0,-0.08396592336625797,-0.05402559516426941,-0.05675868099567527,-0.0046840257319840095,-0.02306405876501194
3792.0,-0.04378751369235734,-0.05398118134660401,5,0,-0.0830275447902955,-0.05398118134660401,-0.05598326500128881,-0.0014194419332431707,-0.024526135390355197
3790.0,-0.04362423951075374,-0.053887701407353106,5,0,-0.08277226535805493,-0.053887701407353106,-0.05583630589950439,-0.0010181617350790706,-0.02460676315377719
3788.0,-0.04376956818340645,-0.05381949065935432,5,0,-0.0830074527453315,-0.05381949065935432,-0.05586886237163258,-0.002404896215643104,-0.023747138925070743
3786.0,-0.04398729655677887,-0.05355825314148843,5,0,-0.08353250808013923,-0.05355825314148843,-0.056027356849259746,-0.004509266051574867,-0.022309098661432047
3784.0,-0.044090696472799215,-0.05316344280317331,5,0,-0.08402136263246018,-0.05316344280317331,-0.05620768971974721,-0.0060078816756992115,-0.021053105532916172
3782.0,-0.04454999046269017,-0.05311250167188053,5,0,-0.08457829524768878,-0.05311250167188053,-0.05690720324793719,-0.008455972118159627,-0.01969598002778472
3780.0,-0.045229458378639634,-0.053065964645980346,5,0,-0.08549292098056682,-0.053065964645980346,-0.05784093600481821,-0.012131547443556823,-0.017615922818275953
3778.0,-0.04486107063105602,-0.05280693198748043,5,0,-0.08563237318105288,-0.05280693198748043,-0.05717981803460037,-0.011247716300701427,-0.017438513651444998
3776.0,-0.04377332986888329,-0.052771939635557485,5,0,-0.08460113184607265,-0.052771939635557485,-0.05539454113889275,-0.006674045887869129,-0.019424990836024447
3774.0,-0.04355853338881408,-0.052907710295799104,5,0,-0.08414560001459193,-0.052907710295799104,-0.05488875404279603,-0.00607053955302006,-0.019780063037863282
3772.0,-0.04453237160878731,-0.05303312106048064,5,0,-0.08515899218680811,-0.05303312106048064,-0.05593940467453762,-0.0112851591293186,-0.017245180992791598
3770.0,-0.045478607054348565,-0.0526227469000784,5,0,-0.08680307971866719,-0.0526227469000784,-0.05706929298991614,-0.017311488658125374,-0.013586427004955715
3768.0,-0.045388104727061764,-0.05205764797273815,5,0,-0.0874793788685575,-0.05205764797273815,-0.05687797584777465,-0.01846107598295066,-0.012064444963287846
3766.0,-0.04477108240355969,-0.051798894376969384,5,0,-0.08717941026987286,-0.051798894376969384,-0.05590815293320417,-0.016493144255777636,-0.012475810181974412
3764.0,-0.04419625871694133,-0.05163043889145835,5,0,-0.08668425764588195,-0.05163043889145835,-0.05510931298818034,-0.014622271535960296,-0.012935012523225708
3762.0,-0.04424813239181473,-0.05154034026243992,5,0,-0.08673088090765169,-0.05154034026243992,-0.055200445112372654,-0.015737832362689108,-0.01203116331392029
3760.0,-0.04490151159714277,-0.05126177354360406,5,0,-0.08775688772426626,-0.05126177354360406,-0.05597260749532973,-0.020257426809099588,-0.009258862413414226
